Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Mercedes Benz E Class,2013,E 250 CDI AVANTGARDE ,1455599,42881,Diesel,Automatic,2nd Owner,New Delhi
Honda City,2014,V MT PETROL ,571499,51778,Petrol,Manual,1st Owner,New Delhi
Volkswagen Polo,2016,COMFORTLINE 1.2L PETROL ,420399,59206,Petrol,Manual,2nd Owner,New Delhi
Maruti Wagon R 1.0,2014,LXI ,333199,62798,Petrol,Manual,1st Owner,New Delhi
Honda City,2020,ZX CVT ,1456371,9928,Petrol,Automatic,1st Owner,New Delhi
Maruti Alto,2021,LXI ,422999,2303,Petrol,Manual,1st Owner,New Delhi
Tata ALTROZ,2021,XZ 1.2 ,819099,10325,Petrol,Manual,1st Owner,New Delhi
Maruti Swift Dzire,2013,LDI BS IV ,303099,50331,Diesel,Manual,2nd Owner,New Delhi
Honda WR-V,2018,1.2 i-VTEC VX MT ,753099,47983,Petrol,Manual,1st Owner,New Delhi
Honda WR-V,2017,1.2 i-VTEC S MT ,611999,62171,Petrol,Manual,2nd Owner,New Delhi
Ford Ecosport,2018,1.5 TITANIUM TI VCT ,795499,28648,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2019,1.5TITANIUM TDCI ,924899,24255,Diesel,Manual,1st Owner,New Delhi
Maruti Celerio,2018,ZXI OPT ,440499,72287,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2019,1.5 TITANIUM PLUS TI VCT AT ,900799,16947,Petrol,Automatic,1st Owner,New Delhi
Ford Ecosport,2018,1.5 TDCI TITANIUM PLUS ,846199,32303,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2017,1.5 AMBIENTE TDCI ,529699,106161,Diesel,Manual,1st Owner,New Delhi
Maruti IGNIS,2018,DELTA 1.2 K12 AMT ,547399,34692,Petrol,Automatic,2nd Owner,New Delhi
Audi A6,2015,2.0 TDI TECHNOLOGY ,1973599,77157,Diesel,Automatic,2nd Owner,New Delhi
Hyundai Creta,2015,1.4 S PLUS ,753299,51726,Diesel,Manual,1st Owner,New Delhi
Maruti Ciaz,2016,VDI+ SHVS ,541799,77777,Diesel,Manual,1st Owner,New Delhi
BMW X3,2013,XDRIVE 20D ,1272899,66995,Diesel,Automatic,1st Owner,New Delhi
Hyundai Tucson New,2017,2WD AT GL DIESEL ,1381599,88273,Diesel,Automatic,1st Owner,New Delhi
Maruti Baleno,2016,DELTA DDIS 190 ,506599,63927,Diesel,Manual,1st Owner,New Delhi
Maruti S Cross,2015,SIGMA 1.3 ,506299,70468,Diesel,Manual,2nd Owner,New Delhi
Maruti Swift,2013,VDI ,333399,103732,Diesel,Manual,2nd Owner,New Delhi
Mercedes Benz C Class,2014,C 200 AVANTGARDE ,2133299,36806,Petrol,Automatic,1st Owner,New Delhi
